,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
71,484414.0,0.0,416260.0,438214.0,10195.0,14576,592.0,225.0,301.0,3.0,22686.0,28569.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1416074
72,525973.0,0.0,535661.0,556028.0,13234.0,17925,831.0,255.0,335.0,4.0,27829.0,36983.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1715125
73,468302.0,0.0,568133.0,555414.0,12295.0,24046,1481.0,313.0,408.0,5.0,42717.0,61463.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1734646
74,447976.0,0.0,402183.0,431649.0,9504.0,15936,1051.0,268.0,371.0,3.0,26164.0,33664.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368816
75,443463.0,0.0,511902.0,803733.0,8478.0,22719,1300.0,281.0,381.0,1.0,26289.0,35805.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1854400
76,426378.0,0.0,359660.0,642790.0,6079.0,19679,883.0,223.0,375.0,1.0,24955.0,46402.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1527454
77,386748.0,0.0,328762.0,522471.0,5618.0,17680,1067.0,255.0,397.0,2.0,25343.0,43463.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1331836
78,366259.0,0.0,316724.0,464594.0,5595.0,18650,577.0,257.0,399.0,3.0,28240.0,43254.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1244604
79,484575.0,0.0,319519.0,413312.0,5302.0,16801,921.0,289.0,339.0,0.0,24764.0,34563.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300433
80,467097.0,0.0,291310.0,312214.0,4896.0,15803,380.0,264.0,333.0,4.0,24193.0,30830.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1147355
81,477874.0,0.0,298380.0,307659.0,4758.0,15225,1070.0,250.0,289.0,1.0,22951.0,29214.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1157714
82,522925.0,0.0,307919.0,320995.0,4784.0,15565,744.0,239.0,330.0,1.0,20278.0,26054.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1219872
83,496189.0,0.0,362119.0,404033.0,6119.0,18054,983.0,244.0,354.0,1.0,21782.0,29767.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1339673
84,446869.0,0.0,438614.0,466407.0,7302.0,20362,1857.0,272.0,395.0,0.0,22610.0,32990.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1437709
